﻿id,title,authors,source,published_date,url,pdf_url,keywords,abstract,abstract_ko,domain,downloaded_at,created_at
400,체육수업에서 팀 구성과 역할 분담에 대한 학생의 경험,이병준,OpenAlex,2010-03-01,https://openalex.org/W2561206182,,Geography,"본 연구는 체육수업에서 팀 구성과 역할분담 과정에서 학생들의 경험을 이해하고, 팀 활동의 교육적 의미를 탐색하는 것이다. 이를 위해 질적연구 전통의 사례연구방법을 사용하였다. 연구참여자는 Y교사와 Y교사로부터 수업을 받고 있는 학생(남자2. 여자4)을 대상으로 하였고, 자료수집은 참여관찰, 심층면담, 문서자료를 통해 이루어 졌으며, 자료의 분석은 Spradley(1980)의 분류분석방법을 이용하였다. 그 결과 팀 구성의 유형에 따른 학생의 경험은 공정성 문제-출석번호로 나누기, 관계지향 - 짝 지어 팀 나누기, 권력화와 소외 - 주장이 팀원 뽑기로 나타났다. 역할 분담과정에서 학생들의 경험은 올바른 리더십 - 주장주도, 자기 요구 실현 - 자기주도, 전술적 의사결정 - 동료간 협의로 나타났다. 이를 토대로 팀 활동에 대한 학생들의 경험의 의미, 교사의 팀활동에 대한 새로운 인식, 교사 개입의 필요성, 구체적 전략에 대해 논의하였다.","본 연구는 부분수업에서 팀 구성과 역할분담 과정에서 학생들의 경험을 이해하고, 팀 활동의 교육적 의미를 탐색하는 것입니다. 이를 위해 우수한 연구 전통의 우수연구방법을 사용하였다. 연구 여자는 Y교사와 Y교사로부터 수업을 받는 여자(남자2.4)를 대상으로 있었고, 자료수집은 참여관찰, 수집면담, 문서자료를 통해 존재하는, 자료의 분석은 Spradley(1980)의 분석 방법을 이용하였습니다. 그 결과 팀 구성의 유형에 따라 학생의 환경은 공정성 문제-출석번호로 이기기, 관계지향 - 짝이 팀을 구성하고, 정당화와 소외 - 주장자가 놀아났습니다. 중요한 분담 과정에서 학생들의 경험은 정당한 칭찬 - 주장주도, 자기를 아끼는 것 - 자기주도, 전술적 의사 결정 - 동료간 사례로 보였습니다. 귀중한 팀 활동에 대한 학생의 경험의 의미, 교사의 팀 활동에 대한 새로운 인식, 교도관리의 중요성, 원칙에 대해 논의했습니다.",leadership,,2026-06-26 00:16:43.214569
399,Analysis of Linguistic Interaction within a Group According to Leader's Leadership in Scientific Inquiry Activity in Elementary School,"Mung-Hee Park, Youngjoon Shin",OpenAlex,2012-08-30,https://doi.org/10.14697/jkase.2012.32.4.760,http://society.kisti.re.kr/sv/SV_svpsbs03V.do?method=download&cn1=JAKO201226833851841,"Psychology, Cognition, Affect (linguistics), Domain (mathematical analysis), Mood","이 연구의 목적은 과학 탐구활동에서 모둠 리더의 리더십 유형에 따른 언어적 상호작용의 특징과 리더가 지니고 있는 리더십 요소가 모둠의 언어적 상호작용에 어떠한 영향을 미치는 지에 대하여 알아보는 것이다. 비전과 추진, 과제책임, 의사결정 세 가지 리더십 요소별로 모둠의 리더를 선정하여 과학탐구능력, 학업성취도평가의 항목으로 모둠원을 구성하여 과학탐구활동을 실시하면서 언어적 상호 작용을 분석하였다. 비전과 추진 모둠이 상대적으로 가장 많은 언어적 상호작용의 빈도수를 보였는데, 이는 리더 속에 내재되어있는 비전과 추진 리더십의 '비전'과 '자신감'의 요소가 영향을 주었기 때문이다. 세 모둠 모두 과제해결과 관련하여 인지적 측면이 정의적 측면 언어적 상호작용보다 많았다. 인지적 측면의 언어적 상호작용에서는 실험 현상과 관련하여 낮은 수준의 언어적 상호작용이 대다수였고, 상위수준의 언어적 상호작용은 적은 빈도수로 일어났다. 정의적 측면에서는 행동참여가 분위기조절보다 더 많은 빈도수를 보였다. 이는 모둠에서 분위기 조절보다는 과제 해결을 위한 모둠원의 행동 제어와 관련된 상호작용이 많았기 때문이다. The purpose of this study was to analyze the characteristic of the linguistic interaction according to leadership type of the leader in the scientific inquiry activity groups and examine how leadership factors affect the linguistic interaction within a group. In this investigation, leaders among 12 elementary school students were chosen by considering results of the leadership diagnosis that tested 3 leadership factors: vision and promotion, assignment responsibility, and decision-making. The members of the groups were organized according to scientific inquiry ability and academic achievement; the groups were assigned to perform scientific inquiry activities. The linguistic interaction was largely divided into the cognitive domain and the affective domain for analysis. According to the results, the frequency of linguistic interaction within a group sorted by leadership type is more influenced by the cognitive domain than the affective domain. The highest frequency of linguistic interaction appeared within the group that had vision and promotion type leader. Assumedly, the vision and confidence of the vision and promotion type leader produced such an outcome. While solving the assignments, linguistic interaction in all three groups had more cognitive domain than affected domain. Linguistic interaction in cognitive domain displayed only low level of linguistic interaction in relation to the experiment itself: high level of linguistic interaction barely occurred. In the case of affected domain, active participation appeared more frequently than maintaining the mood: Interactions related to restricting the group members actions to solve the assignment appeared more frequently than those for maintaining the mood.","이 연구의 목적은 과학 추구 활동에서 모둠 리더의 과급 유형에 따른다. 인수과 슈퍼, 주제 책임, 의사결정 세 가지 추가 요소에 대해 모둠 리더를 선택하여 과학탐구 능력, 성취도 평가의 항목으로 모둠원을 구성 과학탐구 활동을 설명하면서 언어적 빅데이터 분석을 실시했습니다. 인수과 확장 모둠이 상대적으로 가장 많은 종류의 적적 복합체 결합수를 보냄으로써, 리더 내부에 내재되어 있는 비전과 확산의 '비전'과 '자신감'의 요소가 영향을 주었기 때문입니다. 세 모둠 모두를 연구해 결과에 관련하여 생체적 측면이 정의적 측면에 있는 나노입자 복합제보다. 내부적으로는 고급의 언어적 캡슐화 제제와 관련된 잠수함, 고급 수준의 언어적 캡슐화 작용은 좀 더 친밀한 수로 작용합니다. 정의론적 측면에서 행동참여가 분위기 조절보다 더 많은 사람들을 수용해야 합니다. 모둠에서 음을 조절하는 기능을 수행하는 모둠원의 행위 컨트롤과 관련 커넥터가 풍부하기 때문입니다. 본 연구의 목적은 과학탐구활동 집단에서 리더의 리더십 유형에 따른 언어적 상호작용의 특성을 분석하고, 리더십 요인이 집단 내 언어적 상호작용에 어떤 영향을 미치는지 살펴보는 것이다. 본 조사에서는 초등학생 12명을 대상으로 비전 및 승진, 직무책임, 의사결정의 3가지 리더십 요인을 테스트한 리더십 진단 결과를 고려하여 리더를 선정하였다. 그룹의 구성원은 과학적 탐구 능력과 학업 성취도에 따라 구성되었습니다. 그룹은 과학적 탐구 활동을 수행하도록 배정되었습니다. 언어적 상호작용은 크게 인지영역과 정서적 영역으로 나누어 분석하였다. 결과에 따르면 리더십 유형별로 분류된 집단 내 언어적 상호작용의 빈도는 정서적 영역보다 인지적 영역의 영향을 더 많이 받는 것으로 나타났다. 비전형 리더와 승진형 리더를 보유한 집단에서 언어적 상호작용의 빈도가 가장 높은 것으로 나타났다. 이러한 결과는 비전과 승진형 리더의 비전과 자신감이 낳은 것으로 짐작된다. 과제를 해결하는 동안 세 그룹 모두의 언어적 상호작용은 영향을 받은 영역보다 인지 영역이 더 많았습니다. 인지영역의 언어적 상호작용은 실험 자체와 관련하여 낮은 수준의 언어적 상호작용만을 나타냈고, 높은 수준의 언어적 상호작용은 거의 발생하지 않았다. 영향 받은 영역의 경우 기분 유지보다 적극적인 참여가 더 많이 나타났다. 과제 해결을 위해 집단 구성원의 행동을 제한하는 것과 관련된 상호작용이 기분 유지보다 더 자주 나타났다.",leadership,,2026-06-26 00:16:42.516413
398,The Effects of Badminton Athletes’ Life Skills on Perceived Performance,Mun-Hee Kim,OpenAlex,2022-08-31,https://doi.org/10.33090/sfcc.5.2.8,https://doi.org/10.33090/sfcc.5.2.8,"Athletes, Psychology, Applied psychology, Physical therapy, Medical education","연구목적 본 연구는 배드민턴 선수의 라이프 스킬(Life Sklii)이 인지된 경기력에 미치는 영향을 알아보는 데 목적이 있다. 연구방법 연구의 목적을 달성하기 위해 국내 대학·실업 배드민턴 선수들을 대상으로 Google 온라인 설문지의 URL을 배포하였으며, 수집된 189부의 질문지 중 불성실한 응답이라고 판단된 39부의 질문지를 제외한 150부의 자료를 결과분석에 활용하였다. SPSS 21.0을 활용하여 탐색적 요인분석, 다중회귀분석을 실시하였다. 결과 첫째, 인구학적 특성에 따른 라이프스킬의 차이는 소속팀과 세부종목에서 차이가 나타났다. 구체적으로 소속팀에서는 목표설정 요인과 시간관리 요인, 세부종목에서는 문제해결 및 의사결정 요인에서 차이가 나타났다. 둘째, 배드민턴 선수의 라이프 스킬과 인지된 경기력 간의 상관은 모두 유의하게 나타났으며, 목표설정 요인과 리더십 요인이 인지된 경기력에 정적(+)영향을 미치는 것으로 나타났다. 결론 본 연구는 배드민턴 선수의 라이프 스킬이 인지된 경기력과 긍정적 관계를 가지고 있으며, 라이프 스킬 프로그램을 적용함으로써 운동선수로서의 인격적 성장에 도움을 줄 것으로 기대된다.","연구 본 연구는 배드민턴 선수의 챔피언십(Life Sklii)이 인지된 경기력에 영향을 미치는 데 목적이 있습니다. 연구 방법 연구의 목적을 축소하기 위해 국내 대학·실업 배드민턴 선수들을 대상으로 Google 온라인 지퍼지의 URL을 배포하고, 수집된 189부의 질문지 중 불성실한 응답이라고 내용이 된 39단위 질문지 150부의 자료를 결과 분석에 활용했습니다. SPSS 21.0을 활용하여 탐색적 요소분석, 다중회귀분석을 했습니다. 결과적으로 소수, 소수민족에서 벗어나는 분류군과 세부종목에서 보이는 모습이 나타났습니다. 특정으로 구성팀에서는 목표 설정 요인과 시간 관리 요인, 세부종목에서 문제 해결 및 결정 요인에서 보이는 것이 보입니다. 둘째, 배드민턴 선수의 성숙한 스텟과 통찰력 있는 경기력으로 성공한 것은 모두 훌륭하게 크고, 목표 설정 요인과 뛰어난 요인이 활용된 경기력에 정적(+)영향을 미치는 것으로 나타났습니다. 본 연구는 배드민턴 선수의 축구 스킬에 대해 이해한 게임력과 관계를 맺고, 결론 스미스 프로그램을 활용하여 운동 선수와 함께 성장에 도움을 줄 수 있다는 기대가 됩니다.",leadership,,2026-06-26 00:16:41.005614
396,"교사가 지각한 유아교육기관장의 변혁적 리더십, 유아교사의 의사결정 참여 영역, 조직헌신과의 관계","Jin Wha 이진화Lee, Kyoung Jin 이경진Lee, Sun Lye 이순례Lee",OpenAlex,2012-12-31,https://openalex.org/W2608098420,,Computer science,,,leadership,,2026-06-26 00:16:38.724370
395,"Examining the Structural Relationship among Leadership Styles, Employee Empowerment and Organizational Commitment: Evidence from Chinese IT Companies","Hong-Lei Mu, Young‐Chan Lee, Changqing Duan",OpenAlex,2018-08-01,https://doi.org/10.14400/jdc.2018.16.8.181,,"Organizational commitment, Employee empowerment, Business, Leadership style, Psychology","중국의 현재 경제 상황에서 직원들의 조직에 대한 몰입을 강화시키는 리더십 스타일은 매우 중요한 주제이다. 본 연구의 목적은 리더십 스타일, 임파워먼트 그리고 조직몰입 간의 구조적 인과관계를 조사하는 데 있다. 리더들이 자신의 리더십 스타일을 이해하고, 직원들로 하여금 더 많은 의사결정 권한을 부여하는 것은 직원들이 보다 효과적으로 업무를 수행할 수 있도록 많은 도움을 줄 수 있다. 연구목적을 달성하기 위해 본 연구에서는 중국 심천에 소재한 IT기업들에 대한 광범위한 설문 조사를 실시하여 총 403개의 데이터를 수집하였고, 분석은 SPSS와 AMOS를 이용하였다. 분석결과, 리더십 스타일은 종업원의 임파워먼트와 조직몰입에 긍정적인 영향을 미치는 것으로 나타났다. 또한 종업원에 대한 임파워먼트도 조직몰입에 영향을 미치며 리더십 스타일과 조직몰입 간의 매개효과를 가지는 것으로 나타났다. 조직에서 직원들이 자존감 이 낮고 회사가 임파워먼트에 적극적이지 않은 경우 조직몰입도가 낮아 이직 가능성이 높을 수 있다. 본 연구결과는 중국 IT기업에 적합한 리더십 스타일은 변혁적 리더십보다는 거래적 리더십이며, 이러한 리더십 하에 종업원에 대한 적절한 임 파워먼트가 이루어진다면 직원들의 조직몰입을 이끌 수 있다는 것을 보여준다.","중국의 현재 상황에서 직원들의 조직에 대한 강화를 높이는 스타일은 매우 중요한 주제입니다. 본 연구의 목적은 광대한 스타일, 임파워먼트 및 조직 몰입에 구조적 인과 관계를 조사하는 데 있습니다. 그들이 자신의 고급 스타일을 이해하고, 직원들에게 더 많은 리더 결정 권한을 부여하는 것은 직원들이 보다 적극적으로 업무를 수행할 수 있도록 많은 도움을 줄 수 있습니다. 연구 목적을 활동하기 위해 중국에서 심천에 소재한 IT 기업에 대한 광범위한 조사 조사를 포함하여 총 403개의 데이터를 수집하고, 분석은 SPSS와 AMOS를 이용하여 왔습니다. 분석결과, 생물학 스타일은 파충류의 임파워먼트와 조직에 긍정적인 영향을 미치게 됩니다. 또한 도마뱀에 대한 임파워먼트도 조직 몰입에 영향을 미치며 급속한 스타일과 조직에 소규모 효과를 발휘한 것으로 나타났습니다. 조직에서 직원들이 이 불안정하고 회사가 임파워먼트에 존재하지 않는 경우 조직 몰입도가 유지되는 이직 가능성을 높일 수 있습니다. 본 연구 결과는 중국 IT 기업에 우수한 스타일은 변혁적 프리미엄보다 거래 적 프리미어이며, 이러한 프리미엄 하에 프리미엄에 대한 적절한 임파워먼트가 면 직원들의 조직 몰입을 포함할 수 있다는 것을 보여줍니다.",leadership,,2026-06-26 00:16:38.722555
393,보육교사가 지각한 시설장의 리더십 및 의사결정 유형과 교사효능감 간의 관계 연구,민혜영,OpenAlex,2010-01-01,https://openalex.org/W2270881008,,Computer science,"본 연구는 보육교사가 지각한 시설장의 리더십 유형 및 의사결정 유형과 보육교사의 교사효능감 간의 관계를 연구함으로 보육교사의 교사효능감을 높이는데 가장 바람직한 시설장의리더십 유형과 의사결정 유형을 분석해 보는데 그 목적이 있다. 이를 위해 서울, 경기, 인천에 소재한 어린이집에 근무하는 보육교사를 대상으로 총 294명의 설문자료를 분석하였으며, 그 결과를 요약하면 다음과 같다. 첫째, 보육교사가 지각한 시설장의 리더십 유형에 따라 보육교사의 교사효능감에는 차이가 있었다. 시설장의 리더십 유형 중 가장 바람직한 유형인 효율형에서 가장 높은 교사효능감 점수가 나타났다. 가장 낮은 교사효능감 점수는 가장 바람직하지 않은 리더십 유형인 비효율형에서 나타났다. 둘째, 보육교사가 지각한 시설장의 의사결정 유형에 따라 보육교사의 교사효능감에는 차이가 있었다. 가장 민주적이며 바람직한 유형인 참여형에서 교사효능감은 가장 높은 점수를 보였고, 독단형 의사결정 유형에서 가장 낮은 점수를 보였다. 셋째, 교사가 지각한 시설장의 리더십 및 의사결정 점수와 교사의 교사효능감 간에는 유의미한 정적 상관이 나타났다.","본 연구는 교사가 유죄한 기술의 큰 유형 및 의사결정 유형과 교사의 교사효능감 넘치는 관계를 연구하는 교사의 교사효능 감정에 큰 데 가장 큰 기술의 수십 유형과 의사결정 유형을 분석하는데 보는데 그 목적이 있습니다. 이들을 위해 서울, 경기, 쿠션에 속한 어린이집에 일하는 작가 교사를 대상으로 총 294명의 설문 자료를 분석하고, 그 결과를 요약하면과 같습니다. 독창적인 교사가 독일의 병원의 훌륭한 유형에 따라 교사의 교사효능감에는 차이가 있었습니다. 시설의 큰 유형 중 가장 유사한 유형의 넥타이 형태에서 가장 높은 강사효능감 점수가 보입니다. 가장 골키퍼 효율성 능률 점수는 가장 반대이지 않은 추가 유형인 효율성 비형에서 나타납니다. 둘째, 교사의 의사결정 유형에 따라 교사 교사의 교사효능감에는 차이가 있었습니다. 가장 민주적이며 활동적인 참여형에서 강사효능감은 가장 높은 점수를 찾기 위해, 독단형 의사결정 방식에서 가장 낮은 점수를 찾는 것입니다. 노르웨이어, 의사결정 점수와 강사의 의사결정 점수와 강사의 능력 감이 있다는 것은 의미있는 정적 성공이 보였습니다.",leadership,,2026-06-26 00:16:36.649716
391,Charles De Gaulle’s Leadership Research through CIP Leadership Model,"Han-Yong Jung, Ki-Seok Jeon",Crossref,2024-5-30,https://doi.org/10.22243/tklq.2024.15.2.3,,,"Charles De Gaulle, is recognized as a great leader among many political leaders in the 20th century who exerted his influence internationally as a general of the World War II, as well as a post-war president. The purpose of the study is to analyze leadership in sensemaking actions. and‘leader’s power orientation’among CIP leadership theories.
As a result, De Gaulle can be classified as a socialized ideological leader. De Gaulle solved problem in a view of ‘Great France’ mostly based on tradition or values in the past, influenced in communications and political tactics and build interacted among leaders and followers in sensemaking actions. Although he was diagnosed as a pragmatic leader when he dealt with Algeria and as a charismatic leader when he was the commander of the 4th Armored division, no difference in success was found in overall sensemaking actions. Speaking of his orient as a leader, he was a ideological leader, fulfilling his duties with devotion to his homeland.
Though the study, an ideological leader or a charismatic leader can be effective in a political conflict, whereas a pragmatic leader can be effective in solving a constructive problem. Furthermore, De Gaulle’s sacrifice for his country was recognized in his public interest oriented actions in this study.
We hope that this study to raise concern among CIP researchers in the country, and to widen the horizon of the leadership research.","샤를 드골은 제2차 세계대전 장군은 물론 전후 대통령으로서 국제적으로 영향력을 발휘한 20세기의 많은 정치 지도자들 사이에서 위대한 지도자로 인정받고 있다. 이 연구의 목적은 감각 형성 행동에서 리더십을 분석하는 것입니다. CIP 리더십 이론 중 '리더의 권력지향성'이 있다.
결과적으로 드골은 사회화된 이념적 지도자로 분류될 수 있다. 드골은 주로 과거의 전통이나 가치를 바탕으로 '대프랑스' 관점에서 문제를 해결했고, 의사소통과 정치 전술에 영향을 미쳤으며, 리더와 추종자들 사이에서 의미 있는 행동을 통해 상호작용을 구축했다. 알제리 문제에서는 실용주의적 지도자, 제4기갑사단 사령관 시절에는 카리스마적 지도자로 진단받았지만 전반적인 센스메이킹 행동에서는 성공 여부에 차이가 없었다. 지도자로서의 동양을 말하자면 그는 조국을 위하여 헌신하여 자기의 임무를 다하는 사상적 지도자였다.
연구 결과에 따르면 정치적 갈등에는 이념적 지도자나 카리스마적 지도자가 효과적일 수 있는 반면, 건설적 문제 해결에는 실용적 지도자가 효과적일 수 있다. 또한 본 연구에서는 드골의 조국을 위한 희생이 그의 공익 지향적 행동에서 인정받았다.
본 연구가 국내 CIP 연구자들의 관심을 불러일으키고, 리더십 연구의 지평을 넓히는 데 도움이 되기를 바랍니다.",leadership,,2026-06-26 00:16:26.447404
390,The Effects of Leadership Education on Leadership Life Skill and Self-Esteem in Children from Low-Income Families,Sang Do Lee,Crossref,2020-2-29,https://doi.org/10.15300/jcw.2020.72.1.1,,,,,leadership,,2026-06-26 00:16:25.013644
389,A Study of Interrelationship between the Formation of Church Leadership and Followership,Seongho Cho,Crossref,2014-11-30,https://doi.org/10.14387/jkspth.2014.42.771,,,,,leadership,,2026-06-26 00:16:25.012583
388,A Study on Leadership for Missional Ministry : Focusing on Missional Leadership and Leadership Theories,Dong-Myeong Kim,Crossref,2026-5-30,https://doi.org/10.14387/jkspth.2026.99.787,,,,,leadership,,2026-06-26 00:16:25.011527
